Transport,route_name,route_link,Date,busname,bustype,departing_time,duration,bp_time,star_rating,price,seats_available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.6,INR 555,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.6,INR 606,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,10h 50m,08:35,4.5,464,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,4.5,648,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Amrutyog,A/C Sleeper (2+1),22:00,11h 30m,09:30,4.5,554,14 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,11h 30m,08:30,4.5,554,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,10h 25m,09:30,4.2,INR 800,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,10h 30m,07:45,4.4,INR 399,34 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,4.3,INR 500,18 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,11h 15m,07:15,4.3,INR 399,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Divine,NON A/C Sleeper (1+2),19:45,11h 00m,06:45,4.1,INR 499,19 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,11h 00m,09:30,4.2,INR 920,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 40m,07:40,4.1,INR 500,15 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,09h 56m,08:01,4.1,INR 700,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Pearl,Volvo Multi-Axle A/C Sleeper (2+1),22:30,10h 00m,08:30,4.0,INR 799,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,12h 00m,07:00,3.4,INR 800,12 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 40m,09:10,4.8,INR 555,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,08h 50m,06:22,4.7,INR 606,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,AdShreyash Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,3.9,477,16 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:35,12h 55m,10:30,4.4,565,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,11h 30m,10:00,4.5,INR 575,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,11h 30m,06:30,4.5,INR 399,21 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 05m,07:05,4.4,INR 599,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),19:30,10h 05m,05:35,4.4,INR 599,18 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,13h 00m,09:00,4.3,INR 350,33 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,09h 45m,07:45,4.4,INR 700,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,11h 30m,09:30,4.1,INR 800,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Gobus,NON A/C Sleeper (2+1),20:01,10h 30m,06:31,4.2,INR 440,10 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),21:16,10h 15m,07:31,4.1,INR 350,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,17h 00m,10:00,4.5,572,13 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Zingbus Plus,VE A/C Sleeper (2+1),20:00,16h 25m,12:25,4.6,600,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),17:00,15h 15m,08:15,4.3,INR 599,13 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,AdJolly Tours and Travels,VE A/C Sleeper (2+1),18:35,12h 30m,07:05,3.9,990,16 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:55,13h 40m,09:35,4.3,INR 849,12 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),14:10,16h 20m,06:30,4.3,722,14 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),16:00,16h 20m,08:20,4.2,INR 599,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,AdDolphin travel house,A/C Sleeper (2+1),17:45,17h 00m,10:45,3.5,722,28 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:30,17h 00m,08:30,4.3,722,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),19:15,14h 30m,09:45,3.9,INR 599,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Konkan Travels National,NON A/C Sleeper (2+1),19:25,14h 20m,09:45,4.0,600,10 Seats available
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Shubham Vailankanni Travels,VE A/C Sleeper (2+1),20:30,15h 35m,12:05,3.4,INR 750,27 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),19:30,14h 10m,09:40,4.5,INR 599,16 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),21:00,14h 20m,11:20,4.3,INR 599,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,13h 50m,11:50,4.3,INR 700,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,AdJolly Tours and Travels,VE A/C Sleeper (2+1),18:25,12h 05m,06:30,4.1,1439,13 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,Zingbus Plus,VE A/C Sleeper (2+1),19:40,15h 05m,10:45,4.4,629,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),17:30,13h 30m,07:00,4.1,INR 660,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),15:30,15h 15m,06:45,4.1,INR 750,18 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,12h 00m,08:00,4.1,INR 599,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,Atmaram Travels Goa,A/C Sleeper (2+1),19:00,14h 35m,09:35,3.7,INR 599,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,2024-07-23,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),16:30,15h 20m,07:50,3.7,INR 700,29 Seats available
Kadamba Transport Corporation Limited (KTCL),Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,12h 45m,10:00,3.3,INR 735,31 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,13h 15m,10:15,4.6,1099,14 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sunrise Tours and Travels,A/C Sleeper (2+1),21:20,12h 55m,10:15,4.5,INR 1499,1 Seat available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Streamline tours and travels,A/C Sleeper (2+1),21:15,13h 00m,10:15,4.1,INR 999,4 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),20:30,13h 10m,09:40,4.2,INR 837,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sea Bird Tourist,NON A/C Sleeper (2+1),20:30,13h 30m,10:00,3.4,INR 700,22 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,13h 00m,12:30,3.4,INR 750,36 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sea Bird Tourist,NON A/C Sleeper (2+1),18:00,13h 00m,07:00,3.3,INR 700,2 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sugama Tourist,NON A/C Sleeper (2+1),20:30,11h 15m,07:45,3.5,900,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Anand Travels,NON A/C Sleeper (2+1),19:00,12h 00m,07:00,3.0,INR 660,7 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Streamline tours and travels,A/C Sleeper (2+1),22:20,12h 55m,11:15,3.7,INR 999,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sea Bird Tourist,A/C Sleeper (2+1),23:00,13h 00m,12:00,3.1,INR 900,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sea Bird Tourist,A/C Sleeper (2+1),21:15,13h 00m,10:15,2.8,INR 900,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sugama Tourist,NON A/C Sleeper (2+1),20:30,12h 15m,08:45,3.9,INR 950,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sugama Tourist,NON A/C Sleeper (2+1),20:30,11h 45m,08:15,4.4,INR 950,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,2024-07-23,Sea Bird Tourist,A/C Sleeper (2+1),22:15,13h 00m,11:15,2.3,INR 900,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,12h 00m,07:00,3.3,INR 735,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,16:00,03h 45m,19:45,3.2,INR 170,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa,2024-07-23,S R Travels,NON A/C Sleeper (2+1),01:00,05h 00m,06:00,1.6,INR 799,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,13h 15m,07:15,4.6,1299,10 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Sunrise Tours and Travels,A/C Sleeper (2+1),18:30,12h 40m,07:10,4.4,INR 1699,1 Seat available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),19:00,13h 35m,08:35,4.2,INR 1269,10 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Streamline tours and travels,A/C Sleeper (2+1),19:00,12h 30m,07:30,4.0,INR 1400,5 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Sea Bird Tourist,A/C Sleeper (2+1),20:30,13h 00m,09:30,3.4,INR 900,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Sea Bird Tourist,NON A/C Sleeper (2+1),17:30,14h 00m,07:30,3.3,INR 700,16 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Sea Bird Tourist,NON A/C Sleeper (2+1),18:30,14h 00m,08:30,2.9,INR 700,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,SRS Travels,NON AC Seater / Sleeper 2+1,18:00,13h 30m,07:30,2.5,554,15 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,SRS Travels,NON AC Seater / Sleeper 2+1,19:00,12h 30m,07:30,2.5,554,16 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Sugama Tourist,NON A/C Sleeper (2+1),19:45,12h 00m,07:45,3.3,INR 900,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Anand Travels,NON A/C Sleeper (2+1),18:30,12h 15m,06:45,2.5,INR 660,16 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Sugama Tourist,NON A/C Sleeper (2+1),18:00,13h 45m,07:45,3.2,INR 900,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Sugama Tourist,NON A/C Sleeper (2+1),19:00,12h 45m,07:45,2.7,INR 900,27 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,2024-07-23,Janatha Travels,NON A/C Sleeper (2+1),19:00,11h 35m,06:35,3.5,INR 12345,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,20:00,14h 00m,10:00,3.0,INR 850,31 Seats available
Kadamba Transport Corporation Limited (KTCL),Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,2024-07-23,S R Travels,A/C Seater/Sleeper (2+1),18:45,12h 15m,07:00,2.9,INR 700,27 Seats available
Kadamba Transport Corporation Limited (KTCL),Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,2024-07-23,Humsafar Travels,A/C Sleeper (2+1),23:30,09h 30m,09:00,3.2,INR 1350,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,2024-07-23,Humsafar Travels,A/C Sleeper (2+1),23:30,08h 00m,07:30,4.0,INR 2050,27 Seats available
Kadamba Transport Corporation Limited (KTCL),Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,2024-07-23,Humsafar Travels,A/C Sleeper (2+1),23:30,08h 30m,08:00,4.0,INR 2050,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,07h 30m,02:30,3.6,INR 420,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Shri Ganesh Travels,A/C Seater (2+2),14:25,05h 35m,20:00,3.2,INR 999,31 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Hans Travels (I) Private Limited,A/C Sleeper (2+1),14:30,04h 20m,18:50,3.4,INR 600,23 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Neeta tours and travels,AC Sleeper (2+1),15:00,04h 00m,19:00,3.4,INR 499,14 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),15:30,06h 15m,21:45,4.5,INR 550,18 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Vaibhav Travels,A/C Sleeper (2+1),16:00,07h 00m,23:00,3.7,INR 250,33 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),16:30,06h 30m,23:00,3.3,INR 700,29 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),17:30,06h 10m,23:40,3.3,INR 660,26 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Amrutyog Travels,A/C Sleeper (2+1),19:00,07h 30m,02:30,4.5,INR 449,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Atmaram Travels Goa,A/C Sleeper (2+1),19:00,06h 45m,01:45,4.1,INR 599,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),19:30,05h 40m,01:10,4.9,INR 599,18 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Laxmi Queen Prime,A/C Sleeper (2+1),19:30,06h 00m,01:30,3.9,INR 699,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Zingbus Plus,VE A/C Sleeper (2+1),19:40,06h 05m,01:45,4.7,599,24 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Laxmi Empress Stellar,NON A/C Sleeper (2+1),19:45,06h 00m,01:45,3.9,INR 699,6 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,2024-07-23,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,05h 30m,01:30,4.2,INR 350,41 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,13h 30m,08:30,2.8,INR 850,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,2024-07-23,Humsafar Travels,A/C Sleeper (2+1),19:00,09h 30m,04:30,3.7,INR 1650,11 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),16:30,11h 30m,04:00,4.6,INR 1199,20 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),17:30,11h 15m,04:45,3.0,INR 1263,2 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,2024-07-23,IntrCity SmartBus,AC Sleeper (2+1),15:30,11h 30m,03:00,4.2,INR 863,17 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,2024-07-23,S R Travels,A/C Seater/Sleeper (2+1),20:30,11h 00m,07:30,2.4,INR 600,30 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,11h 05m,06:05,3.3,INR 675,25 Seats available
Kadamba Transport Corporation Limited (KTCL),Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,2024-07-23,Humsafar Travels,A/C Sleeper (2+1),19:00,07h 00m,02:00,3.1,INR 1650,11 Seats available
Kadamba Transport Corporation Limited (KTCL),Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:45,12h 15m,10:00,2.7,INR 675,31 Seats available
Kadamba Transport Corporation Limited (KTCL),Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,2024-07-23,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),15:30,01h 45m,17:15,4.2,INR 200,40 Seats available
